Dia,P5,P50,P95
47,-0.07174944644613344,0.027853159557853724,0.14065305702339043
48,-0.07278917707919251,0.028793691951516487,0.14234324894771797
49,-0.0735024718288174,0.02874284721306486,0.14497635368961737
50,-0.07317967695843472,0.029816789746168748,0.1467765219004488
51,-0.07296110422226922,0.03062579659142084,0.1489128871084037
52,-0.07302501735228958,0.031453526763176254,0.14933028545577934
53,-0.07436898806726411,0.03218570329011705,0.1515253925298213
54,-0.07414094830925627,0.03267606636564391,0.15380794545986812
55,-0.07449548828150199,0.033555622749879555,0.15537345168247707
56,-0.07601679527310085,0.03440282994048338,0.15686022729311622
57,-0.07649761920539107,0.03476432282663622,0.15884556252085683
58,-0.07658176728459068,0.03520200202692658,0.15998088883362008
59,-0.07661239772279944,0.03604109184372928,0.1616156064453653
60,-0.07728806433667983,0.03696983953196076,0.1628726153643293
61,-0.07808624459870601,0.03766419117848685,0.16568101850840336
62,-0.0787890966998332,0.038077669008097725,0.16808891404223553
63,-0.07848447554839476,0.038994883367694966,0.16964154455564748
64,-0.07712000443845062,0.04009176462917674,0.17103921362516192
65,-0.07818501199479759,0.04039657386349638,0.17213498367852834
66,-0.0790314587872719,0.04148707388940176,0.17462576072048983
67,-0.07995374781044906,0.04216393647022343,0.17732786758151817
68,-0.08067347346681203,0.042761758615794676,0.1785575798666111
69,-0.08044864609073811,0.043293169790442176,0.18079959342222787
70,-0.08069471922433832,0.04330018978162198,0.18210654993306097
71,-0.08153391026878509,0.04380068610297172,0.1833871819695544
72,-0.0812733870278613,0.045342618717115535,0.18611036243448126
73,-0.08097944359106164,0.04592503341135323,0.1869451539757905
74,-0.08222550924442294,0.04583209994253856,0.18926328587139019
75,-0.08284424947535642,0.04609527048527162,0.1918532853967622
76,-0.08320299934233048,0.04706718740746618,0.19325807236590656
77,-0.08386790691664879,0.047862328227545325,0.19517111418229133
78,-0.0817956422998963,0.04807612726716348,0.1970395160521344
79,-0.08269698264756663,0.04892200848404482,0.19922642613805375
80,-0.08313848179738688,0.04887076632680576,0.19948441902067784
81,-0.08353765519044376,0.04926057495714775,0.20235973614118233
82,-0.08339202310079448,0.05073086954399508,0.204065579354958
83,-0.08341917106935873,0.05121755047155352,0.20653943604362118
84,-0.08236283408516004,0.0514633234933376,0.20644416114527916
85,-0.084170637507933,0.05143364851673837,0.2089435147531745
86,-0.08322195749308031,0.0529128233327566,0.20901857466376333
87,-0.08450931901083203,0.05358112092667189,0.21207351778264416
88,-0.08544457906559241,0.05357093428206017,0.2145259625230646
89,-0.08468855219872677,0.054980415398957594,0.21638666506390034
90,-0.08504275355842092,0.055378616313501605,0.21732858275296746
91,-0.08508220800299289,0.0559213159371017,0.21961974168115347
92,-0.08492055698988218,0.056686888576685135,0.22132460335016757
93,-0.08413297338461487,0.05714510543888518,0.22426985016687698
94,-0.08388537067896237,0.05844079237330568,0.22547023869054414
95,-0.08444636401132039,0.058903694962692876,0.22711394902816615
96,-0.08423621322065718,0.059753407023058425,0.22881638652729316
97,-0.08420454684901779,0.05951677394513144,0.2294169772190568
98,-0.08379919873079728,0.060365966371578095,0.23301360671063986
99,-0.08459559528845192,0.0612075381740349,0.23376568021283636
100,-0.08412824549712816,0.0613971895203157,0.23522200512906427
